// METGen - The Synthesized METAR Generator
// Copyright (C) 2025 FiendishDrWu
//
// This program is free software: you can redistribute it and/or modify
// it under the terms of the GNU Affero General Public License as published
// by the Free Software Foundation, either version 3 of the License, or
// (at your option) any later version.
//
// This program is distributed in the hope that it will be useful,
// but WITHOUT ANY WARRANTY; without even the implied warranty of
// MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
// GNU Affero General Public License for more details.
//
// You should have received a copy of the GNU Affero General Public License
// along with this program.  If not, see <https://www.gnu.org/licenses/>.
//
ICAO,Latitude,Longitude
49MT,45.605717,-109.121281
49NR,35.898333,-76.862500
49OH,39.935453,-83.236397
4AK1,70.003831,-153.077569
4AK6,61.639375,-149.283953
4AL8,34.490542,-86.673433
4AR2,34.910453,-92.006975
4AR4,36.457011,-90.572067
4AR9,35.914847,-92.899714
4FA1,28.984006,-81.826475
4FA2,28.625753,-82.141350
4FA7,28.798722,-82.115750
4FL5,27.755278,-81.599722
4GA5,32.088661,-84.372511
4GA9,34.242319,-84.057133
4KS4,37.184614,-96.886278
4KS5,37.765567,-97.435878
4KS9,38.833950,-99.062875
4KY8,38.029583,-83.240556
4MD5,38.559028,-76.645278
4MD8,39.358575,-77.339467
4MI4,42.797778,-82.536472
4MN1,46.650978,-95.354875
4MN2,49.314247,-94.874964
4MN5,45.550519,-96.451450
4MN7,46.973611,-94.033889
4MO1,39.012639,-91.419472
4NC2,35.545300,-78.592811
4NC4,35.406489,-80.358050
4NE0,40.915578,-101.559808
4OK0,36.161544,-97.861947
4PN8,39.870728,-77.102386
4PS4,41.815222,-75.534242
4TA4,29.939386,-96.060467
4TS5,30.221917,-99.498400
4VA4,37.183056,-76.417361
4VG8,38.141561,-77.528725
4WI9,45.165522,-91.105697
4WN4,43.509475,-87.938742
4WN5,45.457025,-92.378306
4XA2,28.790431,-97.765458
4XS0,29.930269,-95.963889
50KS,37.378264,-95.339783
50OH,39.680353,-83.744672
50PA,40.933378,-75.350553
51AR,35.677444,-93.732294
51ME,44.503856,-70.071817
51MO,39.594583,-94.461417
51TE,32.472481,-96.789892
51TT,30.149442,-97.734553
51WA,47.268156,-122.067892
52FA,27.939611,-81.432028
52LA,30.048375,-93.109250
52MO,38.735239,-94.043706
52NH,42.879714,-71.576417
52NK,43.224244,-75.675528
52NR,35.527897,-79.396228
52TN,35.607297,-86.250036
53GA,34.168958,-85.256986
53IA,41.944992,-92.579297
53KT,37.308556,-85.059111
53NH,43.651658,-71.482614
53NR,35.647083,-82.668750
53XA,29.167906,-95.361042
54AR,35.392856,-93.758706
54AZ,32.603636,-114.667997
54CL,33.520864,-116.796689
54KS,38.799428,-95.100542
54LA,31.642908,-93.002817
54MA,35.054025,-89.580028
54MU,40.300433,-95.112169
54TN,35.013056,-89.721944
54XA,33.491528,-97.211111
54XS,29.945472,-100.687089
55AR,36.429722,-93.695556
55CL,39.053056,-122.095556
55KS,39.300436,-98.458350
55LA,30.618306,-91.945889
55MO,38.871606,-91.260206
55TT,33.421689,-98.190203
55XS,29.166350,-100.418411
56AL,34.772778,-87.174583
56FL,30.876153,-87.208106
56ME,46.626742,-67.844306
56MO,38.781556,-92.034239
56WA,47.283197,-122.473558
56WV,39.325797,-79.661683
57AK,61.583561,-149.802981
57AZ,32.448061,-111.001769
57KS,39.315047,-95.993467
57MI,44.765278,-85.468358
57MO,38.128492,-92.142681
57MT,46.201906,-114.083750
57NC,35.426483,-83.458214
57PN,41.871964,-76.950103
57TS,30.798317,-95.542164
57TX,30.940364,-95.358956
57XA,29.858331,-98.114625
58AR,36.405681,-94.173542
58CL,33.191928,-116.280103
58MN,45.267344,-94.062086
58MT,46.544167,-111.070000
58MU,36.500594,-94.290808
58PA,39.859967,-78.987700
58TE,33.721347,-96.638389
58TN,35.544114,-87.744511
58XA,29.898486,-100.432083
59AR,35.882086,-90.612506
59CO,40.679058,-104.727747
59FA,27.971406,-82.302583
59FD,26.326208,-80.987967
59IA,41.622344,-92.062400
59KS,38.027311,-95.115314
59TN,36.324933,-89.469972
5A8,59.2826004028,-158.617996216
5AR4,34.642500,-91.094722
5AR8,36.407222,-93.464167
5AZ3,33.208725,-111.617242
5CA7,36.336064,-120.247369
5FL7,28.978033,-82.363708
5FL9,28.780847,-81.031750
5GA2,33.572922,-84.911072
5GA3,33.154953,-84.371672
5GA9,33.601250,-84.914861
5IG9,40.015631,-85.432728
5IL2,38.064597,-89.387433
5KS2,39.777744,-95.142261
5KS3,39.216367,-99.365064
5KS4,37.807278,-94.740903
5KS6,39.234800,-96.473600
5KY2,38.165067,-85.150894
5KY4,36.802133,-87.176722
5KY7,37.991944,-84.254028
5LA0,32.590322,-93.827803
5LL8,41.112256,-88.140053
5LS9,31.531344,-93.707417
5MD1,39.417686,-76.678997
5MD4,38.656550,-75.721458
5ME2,43.879444,-70.424167
5MI2,44.668219,-83.305117
5MN1,47.375389,-94.798750
5MO6,40.127950,-92.291125
5MO7,36.595808,-93.629758
5MS5,30.545125,-89.463064
5MU5,38.508981,-94.484347
5MU9,37.679286,-90.714622
5NA0,47.773611,-101.275381
5NC2,35.984861,-80.511417
5NC5,35.981528,-79.273072
5NE3,41.490053,-100.508172
5NK6,42.964158,-74.744811
5OH6,40.353856,-83.523900
5OI8,40.193744,-82.656978
5OK3,36.488419,-95.143856
5SD3,45.439561,-99.675211
5TE0,28.627764,-100.161686
5TN2,36.374519,-82.389914
5TN8,35.592336,-87.863200
5TX0,33.173453,-97.051397
5TX1,30.793128,-99.216586
5VA4,37.721589,-77.220342
5WA2,48.886944,-122.290556
5WA5,46.466878,-120.388447
5WI4,45.081375,-87.679272
60AR,36.403292,-92.039328
60GE,33.943667,-83.237069
60IA,41.469664,-90.781292
60KS,37.513997,-96.999669
60MU,37.259167,-94.414264
60OA,41.400883,-80.578578
60XA,30.660139,-97.763611
61AR,36.314408,-92.542733
61VA,39.236981,-78.011181
62AL,30.683525,-88.371956
62AR,36.464814,-93.869283
62GA,33.324564,-83.916297
62KS,38.358633,-96.490986
62KT,37.731331,-83.813461
62OH,39.695831,-82.467428
62TS,33.113458,-97.528053
62XA,31.498403,-94.583903
63IN,38.695833,-85.919167
63KS,39.779367,-96.004128
63ME,45.239167,-68.961528
63MS,34.338933,-89.002406
63NY,43.259306,-78.965611
63TN,35.438483,-84.400711
64AR,34.969786,-91.831144
